"","ID","GB_ACC","Species Scientific Name","Gene Symbol","ENTREZ_GENE_ID","Gene Title"
"66","200045_at","NM_001090","Homo sapiens","ABCF1","23","ATP-binding cassette, sub-family F (GCN20), member 1"
"67","200046_at","NM_001344","Homo sapiens","DAD1","1603","defender against cell death 1"
"68","200047_s_at","NM_003403","Homo sapiens","YY1","7528","YY1 transcription factor"
"69","200048_s_at","NM_006694","Homo sapiens","JTB","10899","jumping translocation breakpoint"
"70","200049_at","NM_007067","Homo sapiens","MYST2","11143","MYST histone acetyltransferase 2"
"71","200050_at","NM_007145","Homo sapiens","ZNF146","7705","zinc finger protein 146"
"72","200051_at","NM_005146","Homo sapiens","SART1","9092","squamous cell carcinoma antigen recognized by T cells"
"73","200052_s_at","NM_004515","Homo sapiens","ILF2","3608","interleukin enhancer binding factor 2, 45kDa"
"74","200053_at","NM_004890","Homo sapiens","SPAG7","9552","sperm associated antigen 7"
"75","200054_at","NM_003904","Homo sapiens","ZNF259","8882","zinc finger protein 259"
"76","200055_at","NM_006284","Homo sapiens","TAF10","6881","TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30kDa"
"77","200056_s_at","NM_006333","Homo sapiens","C1D","10438","C1D nuclear receptor corepressor"
"78","200057_s_at","NM_007363","Homo sapiens","NONO","4841","non-POU domain containing, octamer-binding"
"79","200058_s_at","BC001417","Homo sapiens","SNRNP200","23020","small nuclear ribonucleoprotein 200kDa (U5)"
"80","200059_s_at","BC001360","Homo sapiens","RHOA","387","ras homolog gene family, member A"
"81","200060_s_at","BC001659","Homo sapiens","RNPS1","10921","RNA binding protein S1, serine-rich domain"
"82","200061_s_at","BC000523","Homo sapiens","RPS24","6229","ribosomal protein S24"
"83","200062_s_at","L05095","Homo sapiens","RPL30","6156","ribosomal protein L30"
"84","200063_s_at","BC002398","Homo sapiens","NPM1","4869","nucleophosmin (nucleolar phosphoprotein B23, numatrin)"
"85","200064_at","AF275719","Homo sapiens","HSP90AB1","3326","heat shock protein 90kDa alpha (cytosolic), class B member 1"
"86","200065_s_at","AF052179","Homo sapiens","ARF1","375","ADP-ribosylation factor 1"
"87","200066_at","AF182645","Homo sapiens","IK","3550","IK cytokine, down-regulator of HLA II"
"88","200067_x_at","AL078596","Homo sapiens","SNX3","8724","sorting nexin 3"
"89","200068_s_at","M94859","Homo sapiens","CANX","821","calnexin"
"90","200069_at","AI656011","Homo sapiens","SART3","9733","squamous cell carcinoma antigen recognized by T cells 3"
"91","200070_at","BC001393","Homo sapiens","C2orf24","27013","chromosome 2 open reading frame 24"
"92","200071_at","BF224259","Homo sapiens","SMNDC1","10285","survival motor neuron domain containing 1"
"93","200072_s_at","AF061832","Homo sapiens","HNRNPM","4670","heterogeneous nuclear ribonucleoprotein M"
"94","200073_s_at","M94630","Homo sapiens","HNRNPD","3184","heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)"
"95","200074_s_at","U16738","Homo sapiens","RPL14","9045","ribosomal protein L14"
"96","200075_s_at","BC006249","Homo sapiens","GUK1","2987","guanylate kinase 1"
"97","200076_s_at","BC006479","Homo sapiens","C19orf50","79036","chromosome 19 open reading frame 50"
"98","200077_s_at","D87914","Homo sapiens","OAZ1","4946","ornithine decarboxylase antizyme 1"
"99","200078_s_at","BC005876","Homo sapiens","ATP6V0B","533","ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b"
"100","200079_s_at","AF285758","Homo sapiens","KARS","3735","lysyl-tRNA synthetase"
"101","200080_s_at","AI955655","Homo sapiens","H3F3A /// LOC440926","3020 /// 440926","H3 histone, family 3A /// H3 histone, family 3A pseudogene"
"102","200081_s_at","BE741754","Homo sapiens","RPS6","6194","ribosomal protein S6"
"103","200082_s_at","AI805587","Homo sapiens","RPS7","6201","ribosomal protein S7"
"104","200083_at","AA621731","Homo sapiens","USP22","23326","ubiquitin specific peptidase 22"
"105","200084_at","BE748698","Homo sapiens","C11orf58","10944","chromosome 11 open reading frame 58"
"106","200085_s_at","NM_007108","Homo sapiens","TCEB2","6923","transcription elongation factor B (SIII), polypeptide 2 (18kDa, elongin B)"
"107","200086_s_at","AA854966","Homo sapiens","COX4I1","1327","cytochrome c oxidase subunit IV isoform 1"
"108","200087_s_at","AK024976","Homo sapiens","TMED2","10959","transmembrane emp24 domain trafficking protein 2"
"109","200088_x_at","AK026491","Homo sapiens","RPL12","6136","ribosomal protein L12"
"110","200089_s_at","AI953886","Homo sapiens","RPL4","6124","ribosomal protein L4"
"111","200090_at","BG168896","Homo sapiens","FNTA","2339","farnesyltransferase, CAAX box, alpha"
"112","200091_s_at","AA888388","Homo sapiens","RPS25","6230","ribosomal protein S25"
"113","200092_s_at","BF216701","Homo sapiens","RPL37","6167","ribosomal protein L37"
"114","200093_s_at","N32864","Homo sapiens","HINT1","3094","histidine triad nucleotide binding protein 1"
"115","200094_s_at","AI004246","Homo sapiens","EEF2","1938","eukaryotic translation elongation factor 2"
"116","200095_x_at","AA320764","Homo sapiens","RPS10","6204","ribosomal protein S10"
"117","200096_s_at","AI862255","Homo sapiens","ATP6V0E1","8992","ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1"
"118","200097_s_at","AI701949","Homo sapiens","HNRNPK","3190","heterogeneous nuclear ribonucleoprotein K"
"119","200098_s_at","T33068","Homo sapiens","ANAPC5","51433","anaphase promoting complex subunit 5"
"120","200099_s_at","AL356115","Homo sapiens","RPS3A","6189","ribosomal protein S3A"
"121","200593_s_at","BC003621","Homo sapiens","HNRNPU","3192","heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)"
"122","200594_x_at","NM_004501","Homo sapiens","HNRNPU","3192","heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)"
"123","200595_s_at","NM_003750","Homo sapiens","EIF3A","8661","eukaryotic translation initiation factor 3, subunit A"
"124","200596_s_at","BE614908","Homo sapiens","EIF3A","8661","eukaryotic translation initiation factor 3, subunit A"
"125","200597_at","AI123320","Homo sapiens","EIF3A","8661","eukaryotic translation initiation factor 3, subunit A"
"126","200598_s_at","AI582238","Homo sapiens","HSP90B1","7184","heat shock protein 90kDa beta (Grp94), member 1"
"127","200599_s_at","NM_003299","Homo sapiens","HSP90B1","7184","heat shock protein 90kDa beta (Grp94), member 1"
"128","200600_at","NM_002444","Homo sapiens","MSN","4478","moesin"
"129","200601_at","U48734","Homo sapiens","ACTN4","81","actinin, alpha 4"
"130","200602_at","NM_000484","Homo sapiens","APP","351","amyloid beta (A4) precursor protein"
"131","200603_at","AL050038","Homo sapiens","PRKAR1A","5573","protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)"
"132","200604_s_at","M18468","Homo sapiens","PRKAR1A","5573","protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)"
"133","200605_s_at","NM_002734","Homo sapiens","PRKAR1A","5573","protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)"
"134","200606_at","NM_004415","Homo sapiens","DSP","1832","desmoplakin"
"135","200607_s_at","BG289967","Homo sapiens","RAD21","5885","RAD21 homolog (S. pombe)"
"136","200608_s_at","NM_006265","Homo sapiens","RAD21","5885","RAD21 homolog (S. pombe)"
"137","200609_s_at","NM_017491","Homo sapiens","WDR1","9948","WD repeat domain 1"
"138","200610_s_at","NM_005381","Homo sapiens","NCL","4691","nucleolin"
"139","200611_s_at","AB010427","Homo sapiens","WDR1","9948","WD repeat domain 1"
"140","200612_s_at","NM_001282","Homo sapiens","AP2B1","163","adaptor-related protein complex 2, beta 1 subunit"
"141","200613_at","NM_004068","Homo sapiens","AP2M1","1173","adaptor-related protein complex 2, mu 1 subunit"
"142","200614_at","NM_004859","Homo sapiens","CLTC","1213","clathrin, heavy chain (Hc)"
"143","200615_s_at","AL567295","Homo sapiens","AP2B1","163","adaptor-related protein complex 2, beta 1 subunit"
"144","200616_s_at","BC000371","Homo sapiens","MLEC","9761","malectin"
"145","200617_at","NM_014730","Homo sapiens","MLEC","9761","malectin"
"146","200618_at","NM_006148","Homo sapiens","LASP1","3927","LIM and SH3 protein 1"
"147","200619_at","NM_006842","Homo sapiens","SF3B2","10992","splicing factor 3b, subunit 2, 145kDa"
"148","200620_at","NM_004872","Homo sapiens","TMEM59","9528","transmembrane protein 59"
"149","200621_at","NM_004078","Homo sapiens","CSRP1","1465","cysteine and glycine-rich protein 1"
"150","200622_x_at","AV685208","Homo sapiens","CALM3","808","calmodulin 3 (phosphorylase kinase, delta)"
"151","200623_s_at","NM_005184","Homo sapiens","CALM3","808","calmodulin 3 (phosphorylase kinase, delta)"
"152","200624_s_at","AA577695","Homo sapiens","MATR3","9782","matrin 3"
"153","200625_s_at","NM_006367","Homo sapiens","CAP1","10487","CAP, adenylate cyclase-associated protein 1 (yeast)"
"154","200626_s_at","NM_018834","Homo sapiens","MATR3","9782","matrin 3"
"155","200627_at","BC003005","Homo sapiens","PTGES3","10728","prostaglandin E synthase 3 (cytosolic)"
"156","200628_s_at","M61715","Homo sapiens","WARS","7453","tryptophanyl-tRNA synthetase"
"157","200629_at","NM_004184","Homo sapiens","WARS","7453","tryptophanyl-tRNA synthetase"
"158","200630_x_at","AV702810","Homo sapiens","SET","6418","SET nuclear oncogene"
"159","200631_s_at","NM_003011","Homo sapiens","SET","6418","SET nuclear oncogene"
"160","200632_s_at","NM_006096","Homo sapiens","NDRG1","10397","N-myc downstream regulated 1"
"161","200633_at","NM_018955","Homo sapiens","UBB","7314","ubiquitin B"
"162","200634_at","NM_005022","Homo sapiens","PFN1","5216","profilin 1"
"163","200635_s_at","AU145351","Homo sapiens","PTPRF","5792","protein tyrosine phosphatase, receptor type, F"
"164","200636_s_at","NM_002840","Homo sapiens","PTPRF","5792","protein tyrosine phosphatase, receptor type, F"
"165","200637_s_at","AI762627","Homo sapiens","PTPRF","5792","protein tyrosine phosphatase, receptor type, F"
"166","200638_s_at","BC003623","Homo sapiens","YWHAZ","7534","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide"
"167","200639_s_at","NM_003406","Homo sapiens","YWHAZ","7534","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide"
"168","200640_at","NM_003406","Homo sapiens","YWHAZ","7534","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide"
"169","200641_s_at","U28964","Homo sapiens","YWHAZ","7534","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide"
"170","200642_at","NM_000454","Homo sapiens","SOD1","6647","superoxide dismutase 1, soluble"
"171","200643_at","NM_005336","Homo sapiens","HDLBP","3069","high density lipoprotein binding protein"
"172","200644_at","NM_023009","Homo sapiens","MARCKSL1","65108","MARCKS-like 1"
"173","200645_at","NM_007278","Homo sapiens","GABARAP","11337","GABA(A) receptor-associated protein"
"174","200646_s_at","NM_006184","Homo sapiens","NUCB1","4924","nucleobindin 1"
"175","200647_x_at","NM_003752","Homo sapiens","EIF3C /// EIF3CL","728689 /// 8663","eukaryotic translation initiation factor 3, subunit C /// eukaryotic translation initiation factor 3, subunit C-like"
"176","200648_s_at","NM_002065","Homo sapiens","GLUL","2752","glutamate-ammonia ligase"
"177","200649_at","BC002356","Homo sapiens","NUCB1","4924","nucleobindin 1"
"178","200650_s_at","NM_005566","Homo sapiens","LDHA","3939","lactate dehydrogenase A"
"179","200651_at","NM_006098","Homo sapiens","GNB2L1","10399","guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1"
"180","200652_at","NM_003145","Homo sapiens","SSR2","6746","signal sequence receptor, beta (translocon-associated protein beta)"
"181","200653_s_at","M27319","Homo sapiens","CALM1","801","calmodulin 1 (phosphorylase kinase, delta)"
"182","200654_at","J02783","Homo sapiens","P4HB","5034","prolyl 4-hydroxylase, beta polypeptide"
"183","200655_s_at","NM_006888","Homo sapiens","CALM1","801","calmodulin 1 (phosphorylase kinase, delta)"
"184","200656_s_at","NM_000918","Homo sapiens","P4HB","5034","prolyl 4-hydroxylase, beta polypeptide"
"185","200657_at","NM_001152","Homo sapiens","SLC25A5","292","solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5"
"186","200658_s_at","AL560017","Homo sapiens","PHB","5245","prohibitin"
"187","200659_s_at","NM_002634","Homo sapiens","PHB","5245","prohibitin"
"188","200660_at","NM_005620","Homo sapiens","S100A11","6282","S100 calcium binding protein A11"
"189","200661_at","NM_000308","Homo sapiens","CTSA","5476","cathepsin A"
"190","200662_s_at","NM_014765","Homo sapiens","TOMM20","9804","translocase of outer mitochondrial membrane 20 homolog (yeast)"
"191","200663_at","NM_001780","Homo sapiens","CD63","967","CD63 molecule"
"192","200664_s_at","BG537255","Homo sapiens","DNAJB1","3337","DnaJ (Hsp40) homolog, subfamily B, member 1"
"193","200665_s_at","NM_003118","Homo sapiens","SPARC","6678","secreted protein, acidic, cysteine-rich (osteonectin)"
"194","200666_s_at","NM_006145","Homo sapiens","DNAJB1","3337","DnaJ (Hsp40) homolog, subfamily B, member 1"
"195","200667_at","BF448062","Homo sapiens","UBE2D3","7323","ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)"
"196","200668_s_at","BC003395","Homo sapiens","UBE2D3","7323","ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)"
"197","200669_s_at","NM_003340","Homo sapiens","UBE2D3","7323","ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)"
"198","200670_at","NM_005080","Homo sapiens","XBP1","7494","X-box binding protein 1"
"199","200671_s_at","N92501","Homo sapiens","SPTBN1","6711","spectrin, beta, non-erythrocytic 1"
"200","200672_x_at","NM_003128","Homo sapiens","SPTBN1","6711","spectrin, beta, non-erythrocytic 1"
"201","200673_at","NM_014713","Homo sapiens","LAPTM4A","9741","lysosomal protein transmembrane 4 alpha"
"202","200674_s_at","NM_000994","Homo sapiens","RPL32","6161","ribosomal protein L32"
"203","200675_at","NM_004356","Homo sapiens","CD81","975","CD81 molecule"
"204","200676_s_at","NM_003347","Homo sapiens","UBE2L3","7332","ubiquitin-conjugating enzyme E2L 3"
"205","200677_at","NM_004339","Homo sapiens","PTTG1IP","754","pituitary tumor-transforming 1 interacting protein"
"206","200678_x_at","NM_002087","Homo sapiens","GRN","2896","granulin"
"207","200679_x_at","BE311760","Homo sapiens","HMGB1","3146","high-mobility group box 1"
"208","200680_x_at","NM_002128","Homo sapiens","HMGB1","3146","high-mobility group box 1"
"209","200681_at","NM_006708","Homo sapiens","GLO1","2739","glyoxalase I"
"210","200682_s_at","BG531983","Homo sapiens","UBE2L3","7332","ubiquitin-conjugating enzyme E2L 3"
"211","200683_s_at","BE964689","Homo sapiens","UBE2L3","7332","ubiquitin-conjugating enzyme E2L 3"
"212","200684_s_at","AI819709","Homo sapiens","UBE2L3","7332","ubiquitin-conjugating enzyme E2L 3"
"213","200685_at","AU146237","Homo sapiens","SRSF11","9295","serine/arginine-rich splicing factor 11"
"214","200686_s_at","NM_004768","Homo sapiens","SRSF11","9295","serine/arginine-rich splicing factor 11"
"215","200687_s_at","NM_012426","Homo sapiens","SF3B3","23450","splicing factor 3b, subunit 3, 130kDa"
"216","200688_at","D13642","Homo sapiens","SF3B3","23450","splicing factor 3b, subunit 3, 130kDa"
"217","200689_x_at","NM_001404","Homo sapiens","EEF1G","1937","eukaryotic translation elongation factor 1 gamma"
"218","200690_at","AA927701","Homo sapiens","HSPA9","3313","heat shock 70kDa protein 9 (mortalin)"
"219","200691_s_at","BC000478","Homo sapiens","HSPA9","3313","heat shock 70kDa protein 9 (mortalin)"
"220","200692_s_at","NM_004134","Homo sapiens","HSPA9","3313","heat shock 70kDa protein 9 (mortalin)"
"221","200693_at","NM_006826","Homo sapiens","YWHAQ","10971","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide"
"222","200694_s_at","NM_020414","Homo sapiens","DDX24","57062","DEAD (Asp-Glu-Ala-Asp) box polypeptide 24"
"223","200695_at","NM_014225","Homo sapiens","PPP2R1A","5518","protein phosphatase 2, regulatory subunit A, alpha"
"224","200696_s_at","NM_000177","Homo sapiens","GSN","2934","gelsolin"
"225","200697_at","NM_000188","Homo sapiens","HK1","3098","hexokinase 1"
"226","200698_at","AL542253","Homo sapiens","KDELR2","11014","KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2"
"227","200699_at","BE962456","Homo sapiens","KDELR2","11014","KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2"
"228","200700_s_at","NM_006854","Homo sapiens","KDELR2","11014","KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2"
"229","200701_at","NM_006432","Homo sapiens","NPC2","10577","Niemann-Pick disease, type C2"
"230","200702_s_at","BG421209","Homo sapiens","DDX24","57062","DEAD (Asp-Glu-Ala-Asp) box polypeptide 24"
"231","200703_at","NM_003746","Homo sapiens","DYNLL1","8655","dynein, light chain, LC8-type 1"
"232","200704_at","AB034747","Homo sapiens","LITAF","9516","lipopolysaccharide-induced TNF factor"
"233","200705_s_at","NM_001959","Homo sapiens","EEF1B2","1933","eukaryotic translation elongation factor 1 beta 2"
"234","200706_s_at","NM_004862","Homo sapiens","LITAF","9516","lipopolysaccharide-induced TNF factor"
"235","200707_at","NM_002743","Homo sapiens","PRKCSH","5589","protein kinase C substrate 80K-H"
"236","200708_at","NM_002080","Homo sapiens","GOT2","2806","glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)"
"237","200709_at","NM_000801","Homo sapiens","FKBP1A","2280","FK506 binding protein 1A, 12kDa"
"238","200710_at","NM_000018","Homo sapiens","ACADVL","37","acyl-CoA dehydrogenase, very long chain"
"239","200711_s_at","NM_003197","Homo sapiens","SKP1","6500","S-phase kinase-associated protein 1"
"240","200712_s_at","AI633566","Homo sapiens","MAPRE1","22919","microtubule-associated protein, RP/EB family, member 1"
"241","200713_s_at","NM_012325","Homo sapiens","MAPRE1","22919","microtubule-associated protein, RP/EB family, member 1"
"242","200714_x_at","NM_006812","Homo sapiens","OS9","10956","osteosarcoma amplified 9, endoplasmic reticulum lectin"
"243","200715_x_at","BC000514","Homo sapiens","RPL13A","23521","ribosomal protein L13a"
"244","200716_x_at","NM_012423","Homo sapiens","RPL13A","23521","ribosomal protein L13a"
"245","200717_x_at","NM_000971","Homo sapiens","RPL7","6129","ribosomal protein L7"
"246","200718_s_at","AA927664","Homo sapiens","SKP1","6500","S-phase kinase-associated protein 1"
"247","200719_at","BE964043","Homo sapiens","SKP1","6500","S-phase kinase-associated protein 1"
"248","200720_s_at","AL532341","Homo sapiens","ACTR1A","10121","ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)"
"249","200721_s_at","NM_005736","Homo sapiens","ACTR1A","10121","ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)"
"250","200722_s_at","BG258784","Homo sapiens","CAPRIN1","4076","cell cycle associated protein 1"
"251","200723_s_at","NM_005898","Homo sapiens","CAPRIN1","4076","cell cycle associated protein 1"
"252","200724_at","BC003358","Homo sapiens","RPL10","6134","ribosomal protein L10"
"253","200725_x_at","NM_006013","Homo sapiens","RPL10","6134","ribosomal protein L10"
"254","200726_at","NM_002710","Homo sapiens","PPP1CC","5501","protein phosphatase 1, catalytic subunit, gamma isozyme"
"255","200727_s_at","AA699583","Homo sapiens","ACTR2","10097","ARP2 actin-related protein 2 homolog (yeast)"
"256","200728_at","BE566290","Homo sapiens","ACTR2","10097","ARP2 actin-related protein 2 homolog (yeast)"
"257","200729_s_at","NM_005722","Homo sapiens","ACTR2","10097","ARP2 actin-related protein 2 homolog (yeast)"
"258","200730_s_at","BF576710","Homo sapiens","PTP4A1","7803","protein tyrosine phosphatase type IVA, member 1"
"259","200731_s_at","AW165960","Homo sapiens","PTP4A1","7803","protein tyrosine phosphatase type IVA, member 1"
"260","200732_s_at","AL578310","Homo sapiens","PTP4A1","7803","protein tyrosine phosphatase type IVA, member 1"
"261","200733_s_at","U48296","Homo sapiens","PTP4A1","7803","protein tyrosine phosphatase type IVA, member 1"
"262","200734_s_at","BG341906","Homo sapiens","ARF3","377","ADP-ribosylation factor 3"
"263","200735_x_at","NM_005594","Homo sapiens","NACA","4666","nascent polypeptide-associated complex alpha subunit"
"264","200736_s_at","NM_000581","Homo sapiens","GPX1","2876","glutathione peroxidase 1"
"265","200737_at","NM_000291","Homo sapiens","PGK1","5230","phosphoglycerate kinase 1"
"266","200738_s_at","NM_000291","Homo sapiens","PGK1","5230","phosphoglycerate kinase 1"
"267","200739_s_at","BG338532","Homo sapiens","SUMO3","6612","SMT3 suppressor of mif two 3 homolog 3 (S. cerevisiae)"
"268","200740_s_at","NM_006936","Homo sapiens","SUMO3","6612","SMT3 suppressor of mif two 3 homolog 3 (S. cerevisiae)"
"269","200741_s_at","NM_001030","Homo sapiens","RPS27","6232","ribosomal protein S27"
"270","200742_s_at","BG231932","Homo sapiens","TPP1","1200","tripeptidyl peptidase I"
"271","200743_s_at","NM_000391","Homo sapiens","TPP1","1200","tripeptidyl peptidase I"
"272","200744_s_at","AI741124","Homo sapiens","GNB1","2782","guanine nucleotide binding protein (G protein), beta polypeptide 1"
